k,alpha,eta,seed,c_v,u_mass,perplexity
20,symmetric,0.01,123,0.45919611444095987,-2.4940135269640926,-8.658732000169428
20,symmetric,0.01,456,0.46510654995970535,-2.4355657629255556,-8.669049342043852
20,symmetric,0.1,42,0.4575862582582662,-2.5173850070903083,-8.136786080112872
20,symmetric,0.1,123,0.4652885979173722,-2.455883778941941,-8.13420267261748
20,symmetric,0.1,456,0.4757096026177606,-2.3771701978605484,-8.133209808360254
20,0.01,symmetric,42,0.46697003409156623,-2.4571693272713424,-8.197070699364962
20,0.01,symmetric,123,0.4672671270389559,-2.4292427560542533,-8.197567751793882
20,0.01,symmetric,456,0.4743347322509882,-2.365917155495836,-8.196651802136028
20,0.01,0.01,42,0.4599996360960182,-2.455558305520369,-8.612949290810045
20,0.01,0.01,123,0.4688052978815385,-2.3885586526925957,-8.616444691230429
20,0.01,0.01,456,0.4629481798272373,-2.477167463190327,-8.618331734664583
20,0.01,0.1,42,0.46223843242698714,-2.539944220849108,-8.083156570466459
20,0.01,0.1,123,0.47197705909106935,-2.3996318843124866,-8.082757267027047
20,0.01,0.1,456,0.4671838140140544,-2.4564374412043777,-8.077588779479317
20,0.1,symmetric,42,0.45457748888563954,-2.5817769947422096,-8.310504060743263
20,0.1,symmetric,123,0.4559507606037993,-2.4744542747145273,-8.30794520074683
20,0.1,symmetric,456,0.46141570473322346,-2.4575717533301615,-8.313108482031247
20,0.1,0.01,42,0.45093584258651037,-2.583577405300706,-8.715002189675124
20,0.1,0.01,123,0.4474246595829311,-2.5605269875163765,-8.717850111122488
20,0.1,0.01,456,0.4610097406648722,-2.4360685038353758,-8.72309497565439
20,0.1,0.1,42,0.4477003595715782,-2.4775895052360952,-8.200023560383086
20,0.1,0.1,123,0.46007434692083066,-2.449913117315783,-8.195510077225956
20,0.1,0.1,456,0.46002967515206283,-2.4680192297345345,-8.199639430651139
20,0.5,symmetric,42,0.3902284335256387,-2.9322729477830007,-8.38291543933262
20,0.5,symmetric,123,0.41526156700412475,-2.9913361404455756,-8.376926239861895
