k,init,alpha,l1_ratio,coherence_cv,reconstruction_error
15,nndsvda,0.1,0.5,0.6410835180908234,70.42016756583303
15,nndsvda,0.1,1.0,0.38451976100992197,70.42016756583303
15,nndsvda,0.5,0.0,0.4927865892956376,70.42016756583303
15,nndsvda,0.5,0.5,0.6410835180908234,70.42016756583303
15,nndsvda,0.5,1.0,0.38451976100992197,70.42016756583303
15,random,0.0,0.0,0.35719330118911236,68.61006022904279
15,random,0.0,0.5,0.35719330118911236,68.61006022904279
15,random,0.0,1.0,0.35719330118911236,68.61006022904279
15,random,0.1,0.0,0.4951019109685818,70.42016756583303
15,random,0.1,0.5,0.6410835180908234,70.42016756583303
15,random,0.1,1.0,0.6943461847343317,70.42016756583303
15,random,0.5,0.0,0.4951019109685818,70.42016756583303
15,random,0.5,0.5,0.6410835180908234,70.42016756583303
15,random,0.5,1.0,0.6943461847343317,70.42016756583303
20,nndsvd,0.0,0.0,0.338667584205923,68.21142714198099
20,nndsvd,0.0,0.5,0.338667584205923,68.21142714198099
20,nndsvd,0.0,1.0,0.338667584205923,68.21142714198099
20,nndsvd,0.1,0.0,0.49442083113170926,70.42016756583303
20,nndsvd,0.1,0.5,0.6410835180908233,70.42016756583303
20,nndsvd,0.1,1.0,0.3768429677405757,70.42016756583303
20,nndsvd,0.5,0.0,0.49442083113170926,70.42016756583303
20,nndsvd,0.5,0.5,0.6410835180908233,70.42016756583303
20,nndsvd,0.5,1.0,0.3768429677405757,70.42016756583303
20,nndsvda,0.0,0.0,0.33940266848249845,68.21142867240958
20,nndsvda,0.0,0.5,0.33940266848249845,68.21142867240958
20,nndsvda,0.0,1.0,0.33940266848249845,68.21142867240958
20,nndsvda,0.1,0.0,0.49442083113170926,70.42016756583303
20,nndsvda,0.1,0.5,0.6410835180908233,70.42016756583303
20,nndsvda,0.1,1.0,0.3768429677405757,70.42016756583303
20,nndsvda,0.5,0.0,0.49442083113170926,70.42016756583303
20,nndsvda,0.5,0.5,0.6410835180908233,70.42016756583303
20,nndsvda,0.5,1.0,0.3768429677405757,70.42016756583303
20,random,0.0,0.0,0.35095017811086127,68.20913597838442
20,random,0.0,0.5,0.35095017811086127,68.20913597838442
20,random,0.0,1.0,0.35095017811086127,68.20913597838442
20,random,0.1,0.0,0.4948594355362902,70.42016756583303
20,random,0.1,0.5,0.6410835180908233,70.42016756583303
20,random,0.1,1.0,0.7037714714182783,70.42016756583303
20,random,0.5,0.0,0.4948594355362902,70.42016756583303
20,random,0.5,0.5,0.6410835180908233,70.42016756583303
20,random,0.5,1.0,0.7037714714182783,70.42016756583303
25,nndsvd,0.0,0.0,0.3520790790888856,67.8545810756155
25,nndsvd,0.0,0.5,0.3520790790888856,67.8545810756155
25,nndsvd,0.0,1.0,0.3520790790888856,67.8545810756155
25,nndsvd,0.1,0.0,0.49408832115378976,70.42016756583303
25,nndsvd,0.1,0.5,0.6410835180908232,70.42016756583303
25,nndsvd,0.1,1.0,0.34923141341316094,70.42016756583303
25,nndsvd,0.5,0.0,0.49408832115378976,70.42016756583303
25,nndsvd,0.5,0.5,0.6410835180908232,70.42016756583303
25,nndsvd,0.5,1.0,0.34923141341316094,70.42016756583303
25,nndsvda,0.0,0.0,0.3520790790888856,67.85458192125701
25,nndsvda,0.0,0.5,0.3520790790888856,67.85458192125701
25,nndsvda,0.0,1.0,0.3520790790888856,67.85458192125701
25,nndsvda,0.1,0.0,0.4939627485588906,70.42016756583303
25,nndsvda,0.1,0.5,0.6410835180908232,70.42016756583303
25,nndsvda,0.1,1.0,0.34923141341316094,70.42016756583303
25,nndsvda,0.5,0.0,0.4939627485588906,70.42016756583303
25,nndsvda,0.5,0.5,0.6410835180908232,70.42016756583303
25,nndsvda,0.5,1.0,0.34923141341316094,70.42016756583303
25,random,0.0,0.0,0.3707367815230114,67.8724745793749
25,random,0.0,0.5,0.3707367815230114,67.8724745793749
25,random,0.0,1.0,0.3707367815230114,67.8724745793749
25,random,0.1,0.0,0.49587783235191607,70.42016756583303
25,random,0.1,0.5,0.6410835180908232,70.42016756583303
25,random,0.1,1.0,0.7005923231378739,70.42016756583303
25,random,0.5,0.0,0.49587783235191607,70.42016756583303
25,random,0.5,0.5,0.6410835180908232,70.42016756583303
25,random,0.5,1.0,0.7005923231378739,70.42016756583303
