article_id,article_topic_category
12144793,environment
19578005,crime_law
30530184,technology
25372004,politics
31599791,social_issues
14611471,politics
13695594,politics
10932004,social_issues
30937666,terrorism_security
24698285,social_issues
24459445,politics
30613879,education
32022298,technology
28272617,politics
25904360,politics
24893726,technology
28399833,immigration
14241046,crime_law
29951998,social_issues
29608297,social_issues
15196872,politics
32293466,social_issues
15096184,economy
15032413,politics
29569964,social_issues
25943653,politics
11844156,economy
29678232,politics
19970342,politics
14746307,politics
19395285,crime_law
25002816,politics
27022611,healthcare
10947253,politics
25098970,economy
9532037,politics
19602451,social_issues
27306227,politics
25908348,politics
16372572,environment
18056398,politics
17967563,politics
24963637,politics
11650486,politics
22309794,healthcare
17912742,politics
12019831,politics
15232166,politics
15829916,social_issues
22987563,healthcare
28352860,politics
32430114,politics
22751410,healthcare
30347198,politics
30506063,religion
30939514,crime_law
26814361,politics
12614501,politics
24349805,education
29266448,economy
27051297,technology
32463961,immigration
24281617,politics
16982181,healthcare
18036639,religion
17883668,economy
16750252,education
17470665,technology
25553895,healthcare
21643218,politics
13903137,religion
22590971,education
32204465,economy
30716904,politics
26807855,politics
13464858,environment
19193189,politics
7779669,politics
24704035,education
20606994,politics
30501780,politics
30706654,politics
11713775,social_issues
17926583,politics
28466969,economy
21252026,terrorism_security
30824689,crime_law
26220867,immigration
17442607,politics
10809725,education
14570850,economy
15949872,crime_law
28328740,politics
21429265,politics
16929985,politics
15552596,social_issues
13318097,sports
27975520,politics
30096837,economy
13205288,politics
11833001,environment
16273850,terrorism_security
32688487,crime_law
28223696,immigration
12144498,terrorism_security
27923650,religion
30106286,healthcare
32657532,politics
12327259,economy
29727372,environment
21578246,social_issues
22239135,politics
29282579,healthcare
25188415,politics
32804170,immigration
24989585,politics
23700690,religion
31198376,politics
13674093,crime_law
19768103,politics
19737495,education
11742623,politics
8910487,sports
27128714,politics
32824010,politics
22053357,politics
25797523,sports
31205599,politics
30506857,environment
29764868,education
14406909,healthcare
26147272,environment
28791923,technology
13449065,environment
15324734,education
25039604,politics
31644670,politics
11795545,environment
28224880,healthcare
25609744,politics
17598552,education
27281681,terrorism_security
12445818,technology
26339960,politics
24939711,sports
13295851,environment
32672022,politics
8206092,politics
15558420,economy
13448552,crime_law
18208281,politics
17676493,healthcare
29983723,politics
31351065,terrorism_security
10200251,technology
7021262,politics
19963703,politics
20588490,healthcare
29319406,politics
11667231,education
28747277,politics
19888036,social_issues
25876207,economy
17226537,education
9750414,religion
26361083,immigration
21658920,politics
30090196,politics
17097514,politics
30020823,immigration
33054436,politics
12573303,healthcare
27215996,politics
18478032,politics
29082375,social_issues
29359814,terrorism_security
13547041,crime_law
20334950,terrorism_security
32266670,environment
23023469,politics
25867616,politics
